Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Z_CostContact;Z_Revenue;Response;Age;Customer_Days;MntTotal;MntRegularProds;AcceptedCmpOverall;MntCalculado;Diferencia_Mnt;Total_Children;Spending_Category;Income_Category;Total_Purchases;Deals_Percentage;Marital_Status;Education
58138.0;0;0;58;635.0;88.0;546.0;172.0;88.0;88.0;3;8;10;4;7;0;0;0;0;0;0;3;11;1;63;2822;1529.0;1441;0;1617.0;88.0;0;High;Medium;25;12.0;Single;Graduation
46344.0;1;1;38;11.0;1.0;6.0;2.0;1.0;6.0;2;1;1;2;5;0;0;0;0;0;0;3;11;0;66;2272;21.0;15;0;27.0;6.0;2;Low;Medium;6;33.33333333333333;Single;Graduation
71613.0;0;0;26;426.0;49.0;127.0;111.0;21.0;42.0;1;8;2;10;4;0;0;0;0;0;0;3;11;0;55;2471;734.0;692;0;776.0;42.0;0;Medium;High;21;4.761904761904762;Together;Graduation
26646.0;1;0;26;11.0;4.0;20.0;10.0;3.0;5.0;2;2;0;4;6;0;0;0;0;0;0;3;11;0;36;2298;48.0;43;0;53.0;5.0;1;Low;Low;8;25.0;Together;Graduation
58293.0;1;0;94;173.0;43.0;118.0;46.0;27.0;15.0;5;5;3;6;5;0;0;0;0;0;0;3;11;0;39;2320;407.0;392;0;422.0;15.0;1;Medium;Medium;19;26.31578947368421;Married;PhD
62513.0;0;1;16;520.0;42.0;98.0;0.0;42.0;14.0;2;6;4;10;6;0;0;0;0;0;0;3;11;0;53;2452;702.0;688;0;716.0;14.0;1;Medium;Medium;22;9.090909090909092;Together;Master
55635.0;0;1;34;235.0;65.0;164.0;50.0;49.0;27.0;4;7;3;7;6;0;0;0;0;0;0;3;11;0;49;2752;563.0;536;0;590.0;27.0;1;Medium;Medium;21;19.047619047619047;Divorced;Graduation
33454.0;1;0;32;76.0;10.0;56.0;3.0;1.0;23.0;2;4;0;4;8;0;0;0;0;0;0;3;11;0;35;2576;146.0;123;0;169.0;23.0;1;Medium;Low;10;20.0;Married;PhD
30351.0;1;0;19;14.0;0.0;24.0;3.0;3.0;2.0;1;3;0;2;9;0;0;0;0;0;0;3;11;1;46;2547;44.0;42;0;46.0;2.0;1;Low;Low;6;16.666666666666664;Together;PhD
5648.0;1;1;68;28.0;0.0;6.0;1.0;1.0;13.0;1;1;0;0;20;1;0;0;0;0;0;3;11;0;70;2267;36.0;23;1;49.0;13.0;2;Low;Low;2;50.0;Together;PhD
7500.0;0;0;59;6.0;16.0;11.0;11.0;1.0;16.0;1;2;0;3;8;0;0;0;0;0;0;3;11;0;44;2752;45.0;29;0;61.0;16.0;0;Low;Low;6;16.666666666666664;Married;Basic
63033.0;0;0;82;194.0;61.0;480.0;225.0;112.0;30.0;1;3;4;8;2;0;0;0;0;0;0;3;11;0;61;2385;1072.0;1042;0;1102.0;30.0;0;High;High;16;6.25;Divorced;Graduation
59354.0;1;1;53;233.0;2.0;53.0;3.0;5.0;14.0;3;6;1;5;6;0;0;0;0;0;0;3;11;0;68;2385;296.0;282;0;310.0;14.0;2;Medium;Medium;15;20.0;Divorced;Master
17323.0;0;0;38;3.0;14.0;17.0;6.0;1.0;5.0;1;1;0;3;8;0;0;0;0;0;0;3;11;0;33;2786;41.0;36;0;46.0;5.0;0;Low;Low;5;20.0;Married;Graduation
82800.0;0;0;23;1006.0;22.0;115.0;59.0;68.0;45.0;1;7;6;12;3;0;0;1;1;0;0;3;11;1;74;2741;1270.0;1225;2;1315.0;45.0;0;High;High;26;3.8461538461538463;Single;PhD
41850.0;1;1;51;53.0;5.0;19.0;2.0;13.0;4.0;3;3;0;3;8;0;0;0;0;0;0;3;11;0;40;2711;92.0;88;0;96.0;4.0;2;Medium;Medium;9;33.33333333333333;Married;Graduation
37760.0;0;0;20;84.0;5.0;38.0;150.0;12.0;28.0;2;4;1;6;7;0;0;0;0;0;0;3;11;0;74;2826;289.0;261;0;317.0;28.0;0;Medium;Low;13;15.384615384615385;Together;Graduation
76995.0;0;1;91;1012.0;80.0;498.0;0.0;16.0;176.0;2;11;4;9;5;0;0;0;1;0;0;3;11;0;71;2617;1606.0;1430;1;1782.0;176.0;1;High;High;26;7.6923076923076925;Married;Master
33812.0;1;0;86;4.0;17.0;19.0;30.0;24.0;39.0;2;2;1;3;6;0;0;0;0;0;0;3;11;0;35;2762;94.0;55;0;133.0;39.0;1;Medium;Low;8;25.0;Single;2n Cycle
37040.0;0;0;41;86.0;2.0;73.0;69.0;38.0;48.0;1;4;2;5;8;0;0;0;0;0;0;3;11;0;38;2849;268.0;220;0;316.0;48.0;0;Medium;Low;12;8.333333333333332;Married;Graduation
2447.0;1;0;42;1.0;1.0;1725.0;1.0;1.0;1.0;15;0;28;0;1;0;0;0;0;0;0;3;11;0;41;2698;1729.0;1728;0;1730.0;1.0;1;High;Low;43;34.883720930232556;Married;Graduation
58607.0;0;1;63;867.0;0.0;86.0;0.0;0.0;19.0;3;2;3;9;8;0;1;0;0;0;0;3;11;0;71;2712;953.0;934;1;972.0;19.0;1;High;Medium;17;17.647058823529413;Married;PhD
65324.0;0;1;0;384.0;0.0;102.0;21.0;32.0;5.0;3;6;2;9;4;0;0;0;0;0;0;3;11;0;66;2328;539.0;534;0;544.0;5.0;1;Medium;High;20;15.0;Married;PhD
40689.0;0;1;69;270.0;3.0;27.0;39.0;6.0;99.0;7;7;1;5;8;0;0;0;0;0;0;3;11;0;69;2627;345.0;246;0;444.0;99.0;1;Medium;Medium;20;35.0;Together;Graduation
18589.0;0;0;89;6.0;4.0;25.0;15.0;12.0;13.0;2;2;1;3;7;0;0;0;0;0;0;3;11;0;51;2702;62.0;49;0;75.0;13.0;0;Low;Low;8;25.0;Single;Graduation
53359.0;1;1;4;173.0;4.0;30.0;3.0;6.0;41.0;4;5;1;4;7;0;0;0;0;0;0;3;11;0;44;2557;216.0;175;0;257.0;41.0;2;Medium;Medium;14;28.57142857142857;Married;Graduation
38360.0;1;0;26;36.0;2.0;42.0;20.0;21.0;10.0;2;2;1;4;3;0;0;0;0;0;0;3;11;0;31;2553;121.0;111;0;131.0;10.0;1;Medium;Low;9;22.22222222222222;Married;Graduation
84618.0;0;0;96;684.0;100.0;801.0;21.0;66.0;0.0;1;6;9;10;2;0;0;1;0;0;0;3;11;0;55;2378;1672.0;1672;1;1672.0;0.0;0;High;High;26;3.8461538461538463;Married;PhD
10979.0;0;0;34;8.0;4.0;10.0;2.0;2.0;4.0;2;3;0;3;5;0;0;0;0;0;0;3;11;0;31;2197;26.0;22;0;30.0;4.0;0;Low;Low;8;25.0;Divorced;Master
38620.0;0;0;56;112.0;17.0;44.0;34.0;22.0;89.0;1;2;5;3;3;0;0;0;0;0;0;3;11;0;57;2573;229.0;140;0;318.0;89.0;0;Medium;Low;11;9.090909090909092;Together;Master
40548.0;0;1;31;110.0;0.0;5.0;2.0;0.0;3.0;2;2;1;4;5;0;1;0;0;0;0;3;11;0;50;2786;117.0;114;1;120.0;3.0;1;Medium;Medium;9;22.22222222222222;Together;Graduation
46610.0;0;2;8;96.0;12.0;96.0;33.0;22.0;43.0;6;4;1;6;6;0;0;0;0;0;0;3;11;1;68;2767;259.0;216;0;302.0;43.0;2;Medium;Medium;17;35.294117647058826;Divorced;PhD
68657.0;0;0;4;482.0;34.0;471.0;119.0;68.0;22.0;1;3;5;9;7;0;0;0;0;0;0;3;11;0;74;2653;1174.0;1152;0;1196.0;22.0;0;High;High;18;5.555555555555555;Married;Master
49389.0;1;1;55;40.0;0.0;19.0;2.0;1.0;3.0;1;2;0;3;7;0;0;0;0;0;0;3;11;0;69;2463;62.0;59;0;65.0;3.0;2;Low;Medium;6;16.666666666666664;Single;Master
67353.0;0;1;37;702.0;17.0;151.0;0.0;8.0;35.0;5;5;6;12;2;0;0;0;0;0;0;3;11;0;50;2339;878.0;843;0;913.0;35.0;1;High;High;28;17.857142857142858;Married;PhD
23718.0;1;0;76;6.0;3.0;14.0;15.0;7.0;36.0;3;3;1;2;7;0;0;0;0;0;0;3;11;0;44;2459;45.0;9;0;81.0;36.0;1;Low;Low;9;33.33333333333333;Married;2n Cycle
42429.0;0;1;99;55.0;0.0;6.0;2.0;0.0;4.0;2;1;1;3;5;0;0;0;0;0;0;3;11;0;47;2297;63.0;59;0;67.0;4.0;1;Low;Medium;7;28.57142857142857;Widow;Graduation
48948.0;0;0;53;437.0;8.0;206.0;160.0;49.0;42.0;2;7;10;5;6;1;0;0;0;0;0;3;11;1;77;2672;860.0;818;1;902.0;42.0;0;High;Medium;24;8.333333333333332;Divorced;PhD
80011.0;0;1;3;421.0;76.0;536.0;82.0;178.0;102.0;2;8;6;5;4;0;0;0;0;0;0;3;11;0;40;2585;1293.0;1191;0;1395.0;102.0;1;High;High;21;9.523809523809524;Married;Graduation
20559.0;1;0;88;13.0;1.0;29.0;3.0;0.0;7.0;2;2;0;3;8;0;0;0;0;0;0;3;11;0;35;2633;46.0;39;0;53.0;7.0;1;Low;Low;7;28.57142857142857;Married;Master
21994.0;0;1;4;9.0;0.0;6.0;3.0;1.0;3.0;1;0;0;3;5;0;0;0;0;0;0;3;11;0;63;2711;19.0;16;0;22.0;3.0;1;Low;Low;4;25.0;Together;Graduation
7500.0;1;0;19;3.0;1.0;10.0;3.0;2.0;12.0;3;2;0;3;5;0;0;0;0;0;0;3;11;0;45;2429;19.0;7;0;31.0;12.0;1;Low;Low;8;37.5;Married;Master
79941.0;0;0;72;123.0;164.0;266.0;227.0;30.0;174.0;1;2;4;9;1;0;0;0;0;0;0;3;11;0;44;2160;810.0;636;0;984.0;174.0;0;High;High;16;6.25;Single;Graduation
7500.0;0;0;24;3.0;18.0;14.0;15.0;22.0;50.0;3;3;1;3;9;0;0;0;0;0;0;3;11;1;24;2756;72.0;22;0;122.0;50.0;0;Low;Low;10;30.0;Married;2n Cycle
41728.0;1;0;92;13.0;6.0;15.0;3.0;5.0;13.0;1;2;0;2;10;0;0;0;0;0;0;3;11;0;52;2560;42.0;29;0;55.0;13.0;1;Low;Medium;5;20.0;Together;Graduation
72550.0;1;1;39;826.0;50.0;317.0;50.0;38.0;38.0;9;5;2;12;8;0;0;0;0;0;0;3;11;0;66;2757;1281.0;1243;0;1319.0;38.0;2;High;High;28;32.142857142857146;Married;PhD
65486.0;0;1;29;245.0;19.0;125.0;37.0;67.0;14.0;1;4;2;10;2;0;0;0;0;0;0;3;11;0;63;2207;493.0;479;0;507.0;14.0;1;Medium;High;17;5.88235294117647;Widow;Graduation
79143.0;0;0;2;650.0;37.0;780.0;27.0;167.0;32.0;1;6;9;13;3;0;0;0;0;0;0;3;11;0;56;2846;1661.0;1629;0;1693.0;32.0;0;High;High;29;3.4482758620689653;Married;Master
35790.0;1;0;54;12.0;6.0;20.0;30.0;1.0;3.0;2;2;0;3;7;0;0;0;0;0;0;3;11;0;43;2702;69.0;66;0;72.0;3.0;1;Low;Low;7;28.57142857142857;Single;Graduation
82582.0;0;0;54;510.0;120.0;550.0;156.0;40.0;241.0;1;4;9;7;1;1;0;0;1;0;0;3;11;1;43;2181;1376.0;1135;2;1617.0;241.0;0;High;High;21;4.761904761904762;Divorced;Graduation
66373.0;1;1;57;328.0;9.0;124.0;12.0;24.0;109.0;7;4;2;10;3;0;0;0;0;0;0;3;11;0;42;2541;497.0;388;0;606.0;109.0;2;Medium;High;23;30.434782608695656;Married;Graduation
82384.0;0;0;55;984.0;51.0;432.0;180.0;120.0;190.0;1;3;10;13;1;0;0;1;0;0;0;3;11;1;65;2746;1767.0;1577;1;1957.0;190.0;0;High;High;27;3.7037037037037033;Together;Master
70287.0;0;0;30;295.0;35.0;482.0;121.0;120.0;40.0;1;5;5;10;3;0;0;0;0;0;0;3;11;1;54;2612;1053.0;1013;0;1093.0;40.0;0;High;High;21;4.761904761904762;Divorced;Graduation
27938.0;1;0;31;13.0;0.0;8.0;2.0;1.0;5.0;1;1;0;4;3;0;0;0;0;0;0;3;11;0;32;2221;24.0;19;0;29.0;5.0;1;Low;Low;6;16.666666666666664;Single;Graduation
